H,S,V
0.1361111111111111,0.993006993006993,0.5607843137254902
0.175,0.3831775700934579,0.8392156862745098
0.18611111111111112,0.7062937062937064,0.5607843137254902
0.06944444444444445,0.8923076923076922,0.7647058823529411
0.10277777777777777,0.8020833333333333,0.7529411764705882
0.13333333333333333,0.6382978723404255,0.9215686274509803
0.11388888888888889,0.39754098360655743,0.9568627450980393
0.21388888888888888,0.7788018433179723,0.8509803921568627
0.08333333333333333,0.8729508196721312,0.9568627450980393
0.15555555555555556,0.7127659574468085,0.7372549019607844
0.18611111111111112,0.7873303167420814,0.8666666666666667
